plant or crop host,common name,scientific name,type,imgLinks,hosts,symptoms,conditions favoring disease,prevention and management,identification,life cycle,solutions,damage,viruses,title name,title description
all lawn grasses,Fairy ring,various,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disfairy.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disfairymush.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disfairythat.jpg,all turfgrass species,"fairy ring symptoms vary depending on the species of fungus. a dark green band of turf may develop in a circle or semi-circle, or a ring of brown, dying grass may occur. mushrooms may or may not be present. white, fungal mycelia may be observed under the thatch layer.",soils with a thick thatch layer or undecomposed organic matter favor disease development. lawns with low fertility or insufficient water tend to have more damage than lawns with adequate fertilizer and water.,"apply adequate nitrogen to mask symptoms and increase activity of beneficial soil organisms. to improve water penetration, aerate and water heavily in holes for several days. dethatch the lawn if the thatch layer is more than 1/2 inch (1.2 cm) thick. rake mushrooms to improve the appearance of the turf. dig out the turf and root zone that contains a white, cottony mass to a depth of 12 inches (30 cm) and 2 ft (60 cm) beyond the outer edge of the ring. refill the area with clean soil and reseed or re-sod. fungicides are available but they have not been observed to reliably control fairy ring.",,,,,,,
all lawn grasses,"Fungi, Nuisance",various,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dismush.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disdogfungus.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disinkycap.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disstinkhorn.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dispuff.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disbirdnst.jpg,all turfgrass species,"various types of mushrooms or other reproductive structures can appear in the lawn. most do not damage grass but can be an indicator of overirrigation or excess thatch. fairy ring mushrooms are associated with damage to turfgrass. mushrooms in new sod: mushrooms, such as panaeolus foenisecii, often appear in sod soon after it is laid. their growth is stimulated by the light frequent watering new lawns require. they will disappear when irrigation frequency is reduced. dog vomit fungus and other slime molds: slime molds form a gooey mass that may look like vomit on the lawn surface. inky caps: the caps of these mushrooms decompose into dark liquid resembling ink. stinkhorns: stinkhorns resemble a giant finger. the tip of the stalk is covered with spores in a smelly, gooey slime that attracts flies and other insects. puffballs: puffballs are usually an inch or less in size and creamy white when young. when mature, the puffball releases thousands of dark-colored spores. bird€™s nests: bird€™s nest fungi produce fruiting bodies that resemble tiny nests with eggs. these egg-like structures contain spores.","mushrooms found in lawns often develop from buried scraps of wood, dead tree roots, or other organic matter. fungi generally survive in the soil for years and produce mushrooms or other fruiting structures only when conditions are favorable, such as after periods of prolonged wet weather. overirrigation and poor soil drainage can also contribute to the development of mushrooms.","nuisance fungi are mostly beneficial because they decompose organic matter in the soil, making nutrients available to other plants. the mushrooms they produce are generally harmless to grasses but are unsightly and often poisonous. remove mushrooms growing from buried wood or roots by picking them as they appear. remove excess thatch and aerate the soil to improve water penetration. follow recommended fertilizer and irrigation rates for your turf species.",,,,,,,
all lawn grasses,Grease spot (Pythium blight),Pythium spp.,Oomycete,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dispythium.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dispyththatch.jpg,all turfgrass species,"pythium blight infestations start out as small, circular spots of dead grass that run together as the infection spreads. when it is hot and conditions are favorable, this disease can spread rapidly in a 24-hour period. infected leaf blades blacken and rapidly wither and later turn reddish-brown. leaves lie flat, stick together, and appear greasy. masses of white, cottony mycelia may appear. pythium blight occurs in parts of the lawn where it is wet and often runs with the pattern of water drainage.",pythium blight tends to develop in low spots that remain wet. temperatures between 80° and 90°f favor disease development. high nitrogen levels also contribute to the disease.,"the key to preventing and managing pythium blight is proper irrigation. avoid overwatering and improve soil aeration and drainage. do not mow when the leaf blades are wet and avoid applying excess nitrogen during hot, humid weather. reduce shading. fungicides are available but are usually not warranted in home lawns.",,,,,,,
all lawn grasses,Mushrooms,various,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/A/D-TG-ACAM-FS.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/U/D-TG-UNKN-FU.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/C/D-TG-CCOM-FU.001h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/C/D-TG-CCOM-FU.002h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn74100.html,
all lawn grasses,Nuisance fungi,various,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dismush.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disdogfungus.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disinkycap.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disstinkhorn.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dispuff.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disbirdnst.jpg,all turfgrass species,"various types of mushrooms or other reproductive structures can appear in the lawn. most do not damage grass but can be an indicator of overirrigation or excess thatch. fairy ring mushrooms are associated with damage to turfgrass. mushrooms in new sod: mushrooms, such as panaeolus foenisecii, often appear in sod soon after it is laid. their growth is stimulated by the light frequent watering new lawns require. they will disappear when irrigation frequency is reduced. dog vomit fungus and other slime molds: slime molds form a gooey mass that may look like vomit on the lawn surface. inky caps: the caps of these mushrooms decompose into dark liquid resembling ink. stinkhorns: stinkhorns resemble a giant finger. the tip of the stalk is covered with spores in a smelly, gooey slime that attracts flies and other insects. puffballs: puffballs are usually an inch or less in size and creamy white when young. when mature, the puffball releases thousands of dark-colored spores. bird€™s nests: bird€™s nest fungi produce fruiting bodies that resemble tiny nests with eggs. these egg-like structures contain spores.","mushrooms found in lawns often develop from buried scraps of wood, dead tree roots, or other organic matter. fungi generally survive in the soil for years and produce mushrooms or other fruiting structures only when conditions are favorable, such as after periods of prolonged wet weather. overirrigation and poor soil drainage can also contribute to the development of mushrooms.","nuisance fungi are mostly beneficial because they decompose organic matter in the soil, making nutrients available to other plants. the mushrooms they produce are generally harmless to grasses but are unsightly and often poisonous. remove mushrooms growing from buried wood or roots by picking them as they appear. remove excess thatch and aerate the soil to improve water penetration. follow recommended fertilizer and irrigation rates for your turf species.",,,,,,,
all lawn grasses,Powdery mildew,Erysiphe graminis,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dispowmil.jpg,"all turfgrass species, but kentucky bluegrass and perennial ryegrass are most susceptible",leaf surfaces are covered with a grayish white powdery growth. isolated patches may spread to larger areas of the lawn. leaf blades may turn pale yellow in later stages of the disease.,"cool temperatures (about 65°f), high humidity, and poor air circulation favor the development of powdery mildew. the disease is most severe in shady areas.","reduce shade and improve soil aeration. in areas where powdery mildew is a problem, plant less susceptible species. follow proper irrigation and fertilization recommendations for your turf species. mow at the high end of the recommended height for your species. fungicides are usually not warranted.",,,,,,,
all lawn grasses,Pythium blight (grease spot),Pythium spp.,Oomycete,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dispythium.jpg<<SPLIT>>https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/dispyththatch.jpg,all turfgrass species,"pythium blight infestations start out as small, circular spots of dead grass that run together as the infection spreads. when it is hot and conditions are favorable, this disease can spread rapidly in a 24-hour period. infected leaf blades blacken and rapidly wither and later turn reddish-brown. leaves lie flat, stick together, and appear greasy. masses of white, cottony mycelia may appear. pythium blight occurs in parts of the lawn where it is wet and often runs with the pattern of water drainage.",pythium blight tends to develop in low spots that remain wet. temperatures between 80° and 90°f favor disease development. high nitrogen levels also contribute to the disease.,"the key to preventing and managing pythium blight is proper irrigation. avoid overwatering and improve soil aeration and drainage. do not mow when the leaf blades are wet and avoid applying excess nitrogen during hot, humid weather. reduce shading. fungicides are available but are usually not warranted in home lawns.",,,,,,,
all lawn grasses,Rust,Puccinia spp.,Fungus,https://ipm.ucanr.edu/TOOLS/TURF/IMAGES/PESTMANIM/disrust.jpg,"annual bluegrass (a common weed in turf), kentucky bluegrass, perennial ryegrass, tall fescue",affected leaves and stems turn yellow and are covered with reddish-brown pustules with dusty spores. the yellow spots start small but the entire leaf may soon turn yellow. the entire turf may take on a rusty color and look thin and weak. orange spores rub off when leaves are handled.,moderately warm air temperatures (70° to 75°f) and extended periods of leaf wetness favor the development of rust. turf that is deficient in nitrogen is more susceptible to disease development.,"maintain turfgrass vigor by following proper irrigation and fertilization requirements for your turf species. mow regularly and remove the clippings to reduce the number of spores if the lawn is infected . rust can be managed by following proper cultural practices, and fungicides should not be needed.",,,,,,,
almond,Almond leaf scorch (Bacterial leaf scorch),Xylella fastidiosa,Bacteria,https://ipm.ucanr.edu/PMG/IMAGES/X/D-WO-XFAS-FO.004h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/X/D-WO-XFAS-FO.009h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/X/D-WO-XFAS-FO.018h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/X/D-WO-XFAS-FO.013h.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/H/I-HO-HCOA-AD.018h.jpg,,,,,,,,,,<<VISIT>>https://ipm.ucanr.edu/PMG/PESTNOTES/pn7480.html,
almond,Armillaria root rot (Oak root fungus),Armillaria mellea,Fungus,https://ipm.ucanr.edu/PMG/IMAGES/A/D-AP-AMEL-FO.003a.jpg<<SPLIT>>https://ipm.ucanr.edu/PMG/IMAGES/A/D-AP-AMEL-FU.005a.jpg,,,,,,,"if less than half of the crown's circumference is girdled, it may be possible to save the tree. in late spring, remove the soil from around the crown area and cut away all bark and tissue of the crown invaded by the white leathery fungus. leave uninfected tissue intact and keep the crown exposed for drying. if more than half of the crown is infected, the tree should be removed. before replanting, allow the soil to dry out. plant on mounds with roots close to the soil surface, and replant with a resistant species. maintaining trees with good fertilization and irrigation programs helps preserve their natural resistance to this fungus.",,,armillaria root rot (oak root fungus) €” armillaria mellea,"symptoms on trees infected with oak root fungus vary. if the disease develops quickly, leaves tend to be small and chlorotic and drop early. shoot growth is poor and shoot dieback is common. trees with slow development of the disease show premature fall coloring of the foliage. foliage symptoms may be expressed on only one or two scaffolds if the crown is only partially girdled. dark rhizomorphs (shoestringlike structures) develop and grow along the surface of healthy roots."
